season,lg,team,abbreviation,playoffs
1961,NBA,Philadelphia Warriors,PHW,TRUE
1961,NBA,St. Louis Hawks,STL,TRUE
1961,NBA,Syracuse Nationals,SYR,TRUE
1960,NBA,Boston Celtics,BOS,TRUE
1960,NBA,Cincinnati Royals,CIN,FALSE
1960,NBA,Detroit Pistons,DET,TRUE
1960,NBA,Minneapolis Lakers,MNL,TRUE
1960,NBA,New York Knicks,NYK,FALSE
1960,NBA,Philadelphia Warriors,PHW,TRUE
1960,NBA,St. Louis Hawks,STL,TRUE
1960,NBA,Syracuse Nationals,SYR,TRUE
1959,NBA,Boston Celtics,BOS,TRUE
1959,NBA,Cincinnati Royals,CIN,FALSE
1959,NBA,Detroit Pistons,DET,TRUE
1959,NBA,Minneapolis Lakers,MNL,TRUE
1959,NBA,New York Knicks,NYK,TRUE
1959,NBA,Philadelphia Warriors,PHW,FALSE
1959,NBA,St. Louis Hawks,STL,TRUE
1959,NBA,Syracuse Nationals,SYR,TRUE
1958,NBA,Boston Celtics,BOS,TRUE
1958,NBA,Cincinnati Royals,CIN,TRUE
1958,NBA,Detroit Pistons,DET,TRUE
1958,NBA,Minneapolis Lakers,MNL,FALSE
1958,NBA,New York Knicks,NYK,FALSE
1958,NBA,Philadelphia Warriors,PHW,TRUE
1958,NBA,St. Louis Hawks,STL,TRUE
1958,NBA,Syracuse Nationals,SYR,TRUE
1957,NBA,Boston Celtics,BOS,TRUE
1957,NBA,Fort Wayne Pistons,FTW,TRUE
1957,NBA,Minneapolis Lakers,MNL,TRUE
1957,NBA,New York Knicks,NYK,FALSE
1957,NBA,Philadelphia Warriors,PHW,TRUE
1957,NBA,Rochester Royals,ROC,FALSE
1957,NBA,St. Louis Hawks,STL,TRUE
1957,NBA,Syracuse Nationals,SYR,TRUE
1956,NBA,Boston Celtics,BOS,TRUE
1956,NBA,Fort Wayne Pistons,FTW,TRUE
1956,NBA,Minneapolis Lakers,MNL,TRUE
1956,NBA,New York Knicks,NYK,TRUE
1956,NBA,Philadelphia Warriors,PHW,TRUE
1956,NBA,Rochester Royals,ROC,FALSE
1956,NBA,St. Louis Hawks,STL,TRUE
1956,NBA,Syracuse Nationals,SYR,TRUE
1955,NBA,Baltimore Bullets,BLB,FALSE
1955,NBA,Boston Celtics,BOS,TRUE
1955,NBA,Fort Wayne Pistons,FTW,TRUE
1955,NBA,Milwaukee Hawks,MLH,FALSE
1955,NBA,Minneapolis Lakers,MNL,TRUE
1955,NBA,New York Knicks,NYK,TRUE
1955,NBA,Philadelphia Warriors,PHW,FALSE
1955,NBA,Rochester Royals,ROC,TRUE
1955,NBA,Syracuse Nationals,SYR,TRUE
1954,NBA,Baltimore Bullets,BLB,FALSE
1954,NBA,Boston Celtics,BOS,TRUE
1954,NBA,Fort Wayne Pistons,FTW,TRUE
1954,NBA,Milwaukee Hawks,MLH,FALSE
1954,NBA,Minneapolis Lakers,MNL,TRUE
1954,NBA,New York Knicks,NYK,TRUE
1954,NBA,Philadelphia Warriors,PHW,FALSE
1954,NBA,Rochester Royals,ROC,TRUE
1954,NBA,Syracuse Nationals,SYR,TRUE
1953,NBA,Baltimore Bullets,BLB,TRUE
1953,NBA,Boston Celtics,BOS,TRUE
1953,NBA,Fort Wayne Pistons,FTW,TRUE
1953,NBA,Indianapolis Olympians,INO,TRUE
1953,NBA,Milwaukee Hawks,MLH,FALSE
1953,NBA,Minneapolis Lakers,MNL,TRUE
1953,NBA,New York Knicks,NYK,TRUE
1953,NBA,Philadelphia Warriors,PHW,FALSE
1953,NBA,Rochester Royals,ROC,TRUE
1953,NBA,Syracuse Nationals,SYR,TRUE
1952,NBA,Baltimore Bullets,BLB,FALSE
1952,NBA,Boston Celtics,BOS,TRUE
1952,NBA,Fort Wayne Pistons,FTW,TRUE
1952,NBA,Indianapolis Olympians,INO,TRUE
1952,NBA,Milwaukee Hawks,MLH,FALSE
1952,NBA,Minneapolis Lakers,MNL,TRUE
1952,NBA,New York Knicks,NYK,TRUE
1952,NBA,Philadelphia Warriors,PHW,TRUE
1952,NBA,Rochester Royals,ROC,TRUE
1952,NBA,Syracuse Nationals,SYR,TRUE
1951,NBA,Baltimore Bullets,BLB,FALSE
1951,NBA,Boston Celtics,BOS,TRUE
1951,NBA,Fort Wayne Pistons,FTW,TRUE
1951,NBA,Indianapolis Olympians,INO,TRUE
1951,NBA,Minneapolis Lakers,MNL,TRUE
1951,NBA,New York Knicks,NYK,TRUE
1951,NBA,Philadelphia Warriors,PHW,TRUE
1951,NBA,Rochester Royals,ROC,TRUE
1951,NBA,Syracuse Nationals,SYR,TRUE
1951,NBA,Tri-Cities Blackhawks,TRI,FALSE
1951,NBA,Washington Capitols,WSC,FALSE
1950,NBA,Anderson Packers,AND,TRUE
1950,NBA,Baltimore Bullets,BLB,FALSE
1950,NBA,Boston Celtics,BOS,FALSE
1950,NBA,Chicago Stags,CHS,TRUE
1950,NBA,Denver Nuggets,DNN,FALSE
1950,NBA,Fort Wayne Pistons,FTW,TRUE
1950,NBA,Indianapolis Olympians,INO,TRUE
1950,NBA,Minneapolis Lakers,MNL,TRUE
1950,NBA,New York Knicks,NYK,TRUE
1950,NBA,Philadelphia Warriors,PHW,TRUE
1950,NBA,Rochester Royals,ROC,TRUE
1950,NBA,Sheboygan Red Skins,SHE,TRUE
1950,NBA,St. Louis Bombers,STB,FALSE
1950,NBA,Syracuse Nationals,SYR,TRUE
1950,NBA,Tri-Cities Blackhawks,TRI,TRUE
1950,NBA,Waterloo Hawks,WAT,FALSE
1950,NBA,Washington Capitols,WSC,TRUE
1949,BAA,Baltimore Bullets,BLB,TRUE
1949,BAA,Boston Celtics,BOS,FALSE
1949,BAA,Chicago Stags,CHS,TRUE
1949,BAA,Fort Wayne Pistons,FTW,FALSE
1949,BAA,Indianapolis Jets,INJ,FALSE
1949,BAA,Minneapolis Lakers,MNL,TRUE
1949,BAA,New York Knicks,NYK,TRUE
1949,BAA,Philadelphia Warriors,PHW,TRUE
1949,BAA,Providence Steamrollers,PRO,FALSE
1949,BAA,Rochester Royals,ROC,TRUE
1949,BAA,St. Louis Bombers,STB,TRUE
1949,BAA,Washington Capitols,WSC,TRUE
1948,BAA,Baltimore Bullets,BLB,TRUE
1948,BAA,Boston Celtics,BOS,TRUE
1948,BAA,Chicago Stags,CHS,TRUE
1948,BAA,New York Knicks,NYK,TRUE
1948,BAA,Philadelphia Warriors,PHW,TRUE
1948,BAA,Providence Steamrollers,PRO,FALSE
1948,BAA,St. Louis Bombers,STB,TRUE
1948,BAA,Washington Capitols,WSC,TRUE
1947,BAA,Boston Celtics,BOS,FALSE
1947,BAA,Chicago Stags,CHS,TRUE
1947,BAA,Cleveland Rebels,CLR,TRUE
1947,BAA,Detroit Falcons,DTF,FALSE
1947,BAA,New York Knicks,NYK,TRUE
1947,BAA,Philadelphia Warriors,PHW,TRUE
1947,BAA,Pittsburgh Ironmen,PIT,FALSE
1947,BAA,Providence Steamrollers,PRO,FALSE
1947,BAA,St. Louis Bombers,STB,TRUE
1947,BAA,Toronto Huskies,TRH,FALSE
1947,BAA,Washington Capitols,WSC,TRUE
