player,player_id,pos,ht_in_in,wt,birth_date,colleges,from,to,debut,hof
Andrew Wiggins,wiggian01,F-G,79,197,1995-02-23,Kansas,2015,2025,2014-10-29T00:00:00Z,FALSE
Zach LaVine,lavinza01,G-F,77,200,1995-03-10,UCLA,2015,2025,2014-10-30T00:00:00Z,FALSE
Joe Harris,harrijo01,G,78,220,1991-09-06,Virginia,2015,2024,2014-10-31T00:00:00Z,FALSE
Andre Dawkins,dawkian01,G,77,215,1991-09-19,Duke,2015,2015,2014-11-01T00:00:00Z,FALSE
Nick Johnson,johnsni01,G,75,202,1992-12-22,Arizona,2015,2015,2014-11-01T00:00:00Z,FALSE
James Young,youngja01,G-F,78,215,1995-08-16,Kentucky,2015,2018,2014-11-01T00:00:00Z,FALSE
Jordan Adams,adamsjo01,G,77,209,1994-07-08,UCLA,2015,2016,2014-11-03T00:00:00Z,FALSE
P.J. Hairston,hairspj02,G-F,78,230,1992-12-24,UNC,2015,2016,2014-11-04T00:00:00Z,FALSE
Alex Kirk,kirkal01,C,84,245,1991-11-14,New Mexico,2015,2015,2014-11-04T00:00:00Z,FALSE
Russ Smith,smithru01,G,72,165,1991-04-19,Louisville,2015,2016,2014-11-04T00:00:00Z,FALSE
Kyle Anderson,anderky01,F-G,81,230,1993-09-20,UCLA,2015,2025,2014-11-06T00:00:00Z,FALSE
Clint Capela,capelca01,C,82,240,1994-05-18,NA,2015,2025,2014-11-06T00:00:00Z,FALSE
Will Cherry,cherrwi01,G,72,185,1991-02-08,Montana,2015,2015,2014-11-07T00:00:00Z,FALSE
Erick Green,greener01,G,76,185,1991-05-09,Virginia Tech,2015,2016,2014-11-07T00:00:00Z,FALSE
Shayne Whittington,whittsh01,F-C,83,250,1991-03-27,Western Michigan,2015,2016,2014-11-08T00:00:00Z,FALSE
T.J. Warren,warretj01,F,80,220,1993-09-05,NC State,2015,2024,2014-11-09T00:00:00Z,FALSE
Drew Gordon,gordodr01,F,81,245,1990-07-12,"UCLA, New Mexico",2015,2015,2014-11-13T00:00:00Z,FALSE
Gary Harris,harriga01,G,76,210,1994-09-14,Michigan State,2015,2025,2014-11-14T00:00:00Z,FALSE
Dwight Powell,poweldw01,F-C,82,240,1991-07-20,Stanford,2015,2025,2014-11-14T00:00:00Z,FALSE
Glenn Robinson III,robingl02,G-F,78,222,1994-01-08,Michigan,2015,2021,2014-11-14T00:00:00Z,FALSE
Zoran Dragić,dragizo01,G-F,77,200,1989-06-22,NA,2015,2015,2014-11-15T00:00:00Z,FALSE
Noah Vonleh,vonleno01,F-C,82,257,1995-08-24,Indiana,2015,2023,2014-11-15T00:00:00Z,FALSE
Jarnell Stokes,stokeja01,F-C,81,263,1994-01-07,Tennessee,2015,2017,2014-11-17T00:00:00Z,FALSE
Kalin Lucas,lucaska01,G,73,195,1989-05-24,Michigan State,2015,2019,2014-11-19T00:00:00Z,FALSE
Bruno Caboclo,cabocbr01,F-C,81,218,1995-09-21,NA,2015,2021,2014-11-21T00:00:00Z,FALSE
Lucas Nogueira,noguelu01,C,84,241,1992-07-26,NA,2015,2018,2014-11-21T00:00:00Z,FALSE
Markel Brown,brownma02,G,75,190,1992-01-29,Oklahoma State,2015,2018,2014-11-22T00:00:00Z,FALSE
Eric Moreland,moreler01,F-C,82,238,1991-12-24,Oregon State,2015,2019,2014-11-26T00:00:00Z,FALSE
Grant Jerrett,jerregr01,F,82,235,1993-07-08,Arizona,2015,2015,2014-11-28T00:00:00Z,FALSE
Jerami Grant,grantje01,F,79,210,1994-03-12,Syracuse,2015,2025,2014-11-29T00:00:00Z,FALSE
C.J. Wilcox,wilcocj01,G,77,195,1990-12-30,Washington,2015,2017,2014-12-03T00:00:00Z,FALSE
Mitch McGary,mcgarmi01,F-C,82,255,1992-06-06,Michigan,2015,2016,2014-12-14T00:00:00Z,FALSE
Furkan Aldemir,aldemfu01,F-C,82,240,1991-08-09,NA,2015,2015,2014-12-15T00:00:00Z,FALSE
Johnny O'Bryant,obryajo01,F-C,81,257,1993-06-01,LSU,2015,2018,2014-12-17T00:00:00Z,FALSE
Adreian Payne,paynead01,F-C,82,237,1991-02-19,Michigan State,2015,2018,2014-12-26T00:00:00Z,FALSE
Patrick Christopher,chrispa01,G-F,77,209,1988-06-03,California,2015,2015,2014-12-27T00:00:00Z,FALSE
Elijah Millsap,millsel01,G-F,78,225,1987-08-12,"Louisiana, UAB",2015,2017,2015-01-05T00:00:00Z,FALSE
Langston Galloway,gallola01,G,73,200,1991-12-09,Saint Joseph's,2015,2022,2015-01-07T00:00:00Z,FALSE
Tyler Johnson,johnsty01,G,75,186,1992-05-07,Fresno State,2015,2022,2015-01-14T00:00:00Z,FALSE
Larry Drew II,drewla02,G,74,180,1990-03-05,"UNC, UCLA",2015,2018,2015-01-16T00:00:00Z,FALSE
JaMychal Green,greenja01,F,80,227,1990-06-21,Alabama,2015,2023,2015-01-18T00:00:00Z,FALSE
James Michael McAdoo,mcadoja01,F,81,230,1993-01-04,UNC,2015,2018,2015-01-19T00:00:00Z,FALSE
Tim Frazier,fraziti01,G,72,170,1990-11-01,Penn State,2015,2022,2015-02-06T00:00:00Z,FALSE
David Stockton,stockda01,G,71,165,1991-06-24,Gonzaga,2015,2018,2015-02-21T00:00:00Z,FALSE
Joffrey Lauvergne,lauvejo01,C-F,83,220,1991-09-30,NA,2015,2018,2015-02-22T00:00:00Z,FALSE
Jack Cooley,cooleja01,F-C,81,260,1991-04-12,Notre Dame,2015,2018,2015-02-27T00:00:00Z,FALSE
Bryce Cotton,cottobr01,G,73,165,1992-08-11,Providence,2015,2016,2015-02-27T00:00:00Z,FALSE
Jerrelle Benimon,benimje01,F,80,245,1991-08-01,"Georgetown, Towson University",2015,2015,2015-03-10T00:00:00Z,FALSE
Jabari Brown,brownja01,G,76,215,1992-12-18,"Oregon, Missouri",2015,2015,2015-03-12T00:00:00Z,FALSE
Sean Kilpatrick,kilpase01,G,76,210,1990-01-06,Cincinnati,2015,2018,2015-03-19T00:00:00Z,FALSE
David Wear,wearda01,F,82,230,1990-09-21,"UNC, UCLA",2015,2015,2015-03-30T00:00:00Z,FALSE
Jerel McNeal,mcneaje01,G,75,200,1987-06-01,Marquette,2015,2015,2015-04-02T00:00:00Z,FALSE
Sim Bhullar,bhullsi01,C,89,360,1992-12-02,New Mexico State,2015,2015,2015-04-07T00:00:00Z,FALSE
Stanley Johnson,johnsst04,F,78,242,1996-05-29,Arizona,2016,2023,2015-10-27T00:00:00Z,FALSE
Lamar Patterson,pattela01,G-F,77,225,1991-08-12,Pitt,2016,2017,2015-10-27T00:00:00Z,FALSE
Justin Anderson,anderju01,G,78,230,1993-11-19,Virginia,2016,2022,2015-10-28T00:00:00Z,FALSE
Nemanja Bjelica,bjeline01,F,82,234,1988-05-09,NA,2016,2022,2015-10-28T00:00:00Z,FALSE
Devin Booker,bookede01,G,78,206,1996-10-30,Kentucky,2016,2025,2015-10-28T00:00:00Z,FALSE
Willie Cauley-Stein,caulewi01,F-C,84,240,1993-08-18,Kentucky,2016,2022,2015-10-28T00:00:00Z,FALSE
Sam Dekker,dekkesa01,F,81,230,1994-05-06,Wisconsin,2016,2022,2015-10-28T00:00:00Z,FALSE
Jerian Grant,grantje02,G,76,205,1992-10-09,Notre Dame,2016,2020,2015-10-28T00:00:00Z,FALSE
Montrezl Harrell,harremo01,F-C,79,240,1994-01-26,Louisville,2016,2023,2015-10-28T00:00:00Z,FALSE
Mario Hezonja,hezonma01,F-G,80,220,1995-02-25,NA,2016,2020,2015-10-28T00:00:00Z,FALSE
Rondae Hollis-Jefferson,holliro01,F,78,217,1995-01-03,Arizona,2016,2021,2015-10-28T00:00:00Z,FALSE
Richaun Holmes,holmeri01,C-F,82,235,1993-10-15,Bowling Green,2016,2025,2015-10-28T00:00:00Z,FALSE
Marcelo Huertas,huertma01,G,75,200,1983-05-25,NA,2016,2017,2015-10-28T00:00:00Z,FALSE
Damien Inglis,inglida01,F,80,246,1995-05-20,NA,2016,2016,2015-10-28T00:00:00Z,FALSE
Nikola Jokić,jokicni01,C-F,83,284,1995-02-19,NA,2016,2025,2015-10-28T00:00:00Z,FALSE
Frank Kaminsky,kaminfr01,F-C,84,240,1993-04-04,Wisconsin,2016,2023,2015-10-28T00:00:00Z,FALSE
Sasha Kaun,kaunsa01,C,83,260,1985-05-08,Kansas,2016,2016,2015-10-28T00:00:00Z,FALSE
Trey Lyles,lylestr01,F,81,234,1995-11-05,Kentucky,2016,2025,2015-10-28T00:00:00Z,FALSE
T.J. McConnell,mccontj01,G,73,190,1992-03-25,"Duquesne, Arizona",2016,2025,2015-10-28T00:00:00Z,FALSE
Salah Mejri,mejrisa01,C,86,235,1986-06-15,NA,2016,2019,2015-10-28T00:00:00Z,FALSE
Jordan Mickey,mickejo01,F,80,235,1994-07-09,LSU,2016,2018,2015-10-28T00:00:00Z,FALSE
Emmanuel Mudiay,mudiaem01,G,75,200,1996-03-05,NA,2016,2022,2015-10-28T00:00:00Z,FALSE
Raul Neto,netora01,G,73,180,1992-05-19,NA,2016,2023,2015-10-28T00:00:00Z,FALSE
Jahlil Okafor,okafoja01,C-F,82,270,1995-12-15,Duke,2016,2025,2015-10-28T00:00:00Z,FALSE
Kristaps Porziņģis,porzikr01,F-C,86,240,1995-08-02,NA,2016,2025,2015-10-28T00:00:00Z,FALSE
Terry Rozier,roziete01,G,73,190,1994-03-17,Louisville,2016,2025,2015-10-28T00:00:00Z,FALSE
D'Angelo Russell,russeda01,G,75,193,1996-02-23,Ohio State,2016,2025,2015-10-28T00:00:00Z,FALSE
Karl-Anthony Towns,townska01,C-F,84,248,1995-11-15,Kentucky,2016,2025,2015-10-28T00:00:00Z,FALSE
Rashad Vaughn,vaughra01,G,78,202,1996-08-16,UNLV,2016,2018,2015-10-28T00:00:00Z,FALSE
Justise Winslow,winslju01,F,78,222,1996-03-26,Duke,2016,2023,2015-10-28T00:00:00Z,FALSE
Christian Wood,woodch01,F,80,214,1995-09-27,UNLV,2016,2024,2015-10-28T00:00:00Z,FALSE
Joe Young,youngjo01,G,74,180,1992-06-27,"Houston, Oregon",2016,2018,2015-10-28T00:00:00Z,FALSE
Edy Tavares,tavarwa01,C,87,260,1992-03-22,NA,2016,2017,2015-10-29T00:00:00Z,FALSE
Myles Turner,turnemy01,C-F,83,250,1996-03-24,Texas,2016,2025,2015-10-29T00:00:00Z,FALSE
Anthony Brown,brownan02,F-G,79,210,1992-10-10,Stanford,2016,2018,2015-10-30T00:00:00Z,FALSE
Pat Connaughton,connapa01,G,77,209,1993-01-06,Notre Dame,2016,2025,2015-10-30T00:00:00Z,FALSE
Boban Marjanović,marjabo01,C,88,290,1988-08-15,NA,2016,2024,2015-10-30T00:00:00Z,FALSE
Luis Montero,montelu01,G,79,185,1993-04-06,Westchester CC,2016,2018,2015-10-30T00:00:00Z,FALSE
Kelly Oubre Jr.,oubreke01,F,80,203,1995-12-09,Kansas,2016,2025,2015-10-30T00:00:00Z,FALSE
Tibor Pleiß,pleisti01,C,87,256,1989-11-02,NA,2016,2016,2015-10-30T00:00:00Z,FALSE
Cameron Payne,payneca01,G,75,183,1994-08-08,Murray State,2016,2025,2015-11-01T00:00:00Z,FALSE
Norman Powell,powelno01,G,75,215,1993-05-25,UCLA,2016,2025,2015-11-01T00:00:00Z,FALSE
Delon Wright,wrighde01,G,77,185,1992-04-26,Utah,2016,2025,2015-11-01T00:00:00Z,FALSE
Bobby Portis,portibo01,F,82,250,1995-02-10,Arkansas,2016,2025,2015-11-03T00:00:00Z,FALSE
R.J. Hunter,hunterj01,G,77,185,1993-10-24,Georgia State University,2016,2019,2015-11-04T00:00:00Z,FALSE
Josh Richardson,richajo01,G,77,200,1993-09-15,Tennessee,2016,2025,2015-11-05T00:00:00Z,FALSE
Larry Nance Jr.,nancela02,F-C,80,245,1993-01-01,Wyoming,2016,2025,2015-11-06T00:00:00Z,FALSE
Cristiano Felício,feliccr01,F-C,83,270,1992-07-07,NA,2016,2021,2015-11-09T00:00:00Z,FALSE
Tyus Jones,jonesty01,G,73,196,1996-05-10,Duke,2016,2025,2015-11-10T00:00:00Z,FALSE
Jonathon Simmons,simmojo02,G-F,78,195,1989-09-14,Houston,2016,2019,2015-11-14T00:00:00Z,FALSE
Cliff Alexander,alexacl01,F,80,245,1995-11-16,Kansas,2016,2016,2015-11-15T00:00:00Z,FALSE
Aaron Harrison,harriaa01,G,78,210,1994-10-28,Kentucky,2016,2018,2015-11-20T00:00:00Z,FALSE
Darrun Hilliard,hillida01,G,78,205,1993-04-13,Villanova,2016,2018,2015-11-23T00:00:00Z,FALSE
Willie Reed,reedwi02,F-C,82,220,1990-05-16,Saint Louis,2016,2018,2015-12-04T00:00:00Z,FALSE
Jarell Martin,martija01,F,82,239,1994-05-24,LSU,2016,2019,2015-12-18T00:00:00Z,FALSE
Jarell Eddie,eddieja01,G-F,79,218,1991-10-30,Virginia Tech,2016,2018,2015-12-26T00:00:00Z,FALSE
Branden Dawson,dawsobr01,F,78,225,1993-02-01,Michigan State,2016,2016,2015-12-28T00:00:00Z,FALSE
J.J. O'Brien,obriejj01,F,79,228,1992-04-08,San Diego State,2016,2016,2016-01-16T00:00:00Z,FALSE
Keith Appling,applike01,G,73,185,1992-02-13,Michigan State,2016,2016,2016-01-18T00:00:00Z,FALSE
Bryce Dejean-Jones,dejeabr01,G,78,209,1992-08-21,"USC, UNLV, Iowa State",2016,2016,2016-01-21T00:00:00Z,FALSE
Kevon Looney,looneke01,F-C,81,222,1996-02-06,UCLA,2016,2025,2016-01-27T00:00:00Z,FALSE
Thanasis Antetokounmpo,antetth01,F,79,219,1992-07-18,NA,2016,2024,2016-01-29T00:00:00Z,FALSE
Jordan McRae,mcraejo01,G,77,179,1991-03-28,Tennessee,2016,2020,2016-01-29T00:00:00Z,FALSE
Chris McCullough,mcculch01,F,83,200,1995-02-05,Syracuse,2016,2018,2016-02-08T00:00:00Z,FALSE
Alex Stepheson,stephal01,F,82,270,1987-08-07,"UNC, USC",2016,2016,2016-02-20T00:00:00Z,FALSE
Axel Toupane,toupaax01,G-F,79,197,1992-07-23,NA,2016,2021,2016-03-04T00:00:00Z,FALSE
Briante Weber,weberbr01,G,74,165,1992-12-29,VCU,2016,2018,2016-03-11T00:00:00Z,FALSE
Coty Clarke,clarkco01,F,79,232,1992-07-04,Arkansas,2016,2016,2016-03-15T00:00:00Z,FALSE
Xavier Munford,munfoxa02,G,74,180,1992-06-01,Rhode Island,2016,2018,2016-03-17T00:00:00Z,FALSE
Alan Williams,willial03,F-C,80,265,1993-01-28,UC Santa Barbara,2016,2019,2016-03-17T00:00:00Z,FALSE
Josh Huestis,huestjo01,F,79,230,1991-12-19,Stanford,2016,2018,2016-03-24T00:00:00Z,FALSE
Rakeem Christmas,chrisra01,F,81,250,1991-12-01,Syracuse,2016,2017,2016-04-13T00:00:00Z,FALSE
Duje Dukan,dukandu01,F,81,220,1991-12-04,Wisconsin,2016,2016,2016-04-13T00:00:00Z,FALSE
Ron Baker,bakerro01,G,76,220,1993-03-30,Wichita State,2017,2019,2016-10-25T00:00:00Z,FALSE
Dāvis Bertāns,bertada01,F,82,225,1992-11-12,NA,2017,2024,2016-10-25T00:00:00Z,FALSE
Bryn Forbes,forbebr01,G,74,205,1993-07-23,Michigan State,2017,2023,2016-10-25T00:00:00Z,FALSE
Willy Hernangómez,hernawi01,C,83,250,1994-05-27,NA,2017,2023,2016-10-25T00:00:00Z,FALSE
Mindaugas Kuzminskas,kuzmimi01,F,81,215,1989-10-19,NA,2017,2018,2016-10-25T00:00:00Z,FALSE
Nicolás Laprovíttola,laproni01,G,76,180,1990-01-31,NA,2017,2017,2016-10-25T00:00:00Z,FALSE
Patrick McCaw,mccawpa01,G,79,181,1995-10-25,UNLV,2017,2021,2016-10-25T00:00:00Z,FALSE
Álex Abrines,abrinal01,G-F,78,200,1993-08-01,NA,2017,2019,2016-10-26T00:00:00Z,FALSE
Wade Baldwin,baldwwa01,G,76,200,1996-03-29,Vanderbilt,2017,2019,2016-10-26T00:00:00Z,FALSE
Dragan Bender,bendedr01,F,84,225,1997-11-17,NA,2017,2020,2016-10-26T00:00:00Z,FALSE
Malcolm Brogdon,brogdma01,G,76,229,1992-12-11,Virginia,2017,2025,2016-10-26T00:00:00Z,FALSE
Jaylen Brown,brownja02,F-G,78,223,1996-10-24,California,2017,2025,2016-10-26T00:00:00Z,FALSE
Nicolás Brussino,brussni01,G-F,79,195,1993-03-02,NA,2017,2018,2016-10-26T00:00:00Z,FALSE
Marquese Chriss,chrisma01,F,81,240,1997-07-02,Washington,2017,2022,2016-10-26T00:00:00Z,FALSE
Semaj Christon,chrisse01,G,75,190,1992-11-01,Xavier,2017,2017,2016-10-26T00:00:00Z,FALSE
Deyonta Davis,davisde01,C-F,83,237,1996-12-02,Michigan State,2017,2019,2016-10-26T00:00:00Z,FALSE
Kris Dunn,dunnkr01,G,75,205,1994-03-18,Providence,2017,2025,2016-10-26T00:00:00Z,FALSE
Henry Ellenson,ellenhe01,F,82,240,1997-01-13,Marquette,2017,2021,2016-10-26T00:00:00Z,FALSE
Joel Embiid,embiijo01,C,84,280,1994-03-16,Kansas,2017,2025,2016-10-26T00:00:00Z,FALSE
Dorian Finney-Smith,finnedo01,F,79,220,1993-05-04,Florida,2017,2025,2016-10-26T00:00:00Z,FALSE
Michael Gbinije,gbinimi01,G,79,200,1992-06-05,"Duke, Syracuse",2017,2017,2016-10-26T00:00:00Z,FALSE
Andrew Harrison,harrian01,G,78,213,1994-10-28,Kentucky,2017,2019,2016-10-26T00:00:00Z,FALSE
Juancho Hernangómez,hernaju01,F,81,214,1995-09-28,NA,2017,2023,2016-10-26T00:00:00Z,FALSE
Buddy Hield,hieldbu01,G-F,76,220,1992-12-17,Oklahoma,2017,2025,2016-10-26T00:00:00Z,FALSE
Brandon Ingram,ingrabr01,F,80,190,1997-09-02,Duke,2017,2025,2016-10-26T00:00:00Z,FALSE
Rodney McGruder,mcgruro01,G,76,205,1991-07-29,Kansas State,2017,2023,2016-10-26T00:00:00Z,FALSE
Jamal Murray,murraja01,G,76,215,1997-02-23,Kentucky,2017,2025,2016-10-26T00:00:00Z,FALSE
Jakob Poeltl,poeltja01,C,84,245,1995-10-15,Utah,2017,2025,2016-10-26T00:00:00Z,FALSE
Malachi Richardson,richama01,G,78,205,1996-01-05,Syracuse,2017,2019,2016-10-26T00:00:00Z,FALSE
Domantas Sabonis,sabondo01,C-F,82,240,1996-05-03,Gonzaga,2017,2025,2016-10-26T00:00:00Z,FALSE
Dario Šarić,saricda01,F-C,82,225,1994-04-08,NA,2017,2025,2016-10-26T00:00:00Z,FALSE
Pascal Siakam,siakapa01,F-C,80,230,1994-04-02,New Mexico State,2017,2025,2016-10-26T00:00:00Z,FALSE
Tyler Ulis,ulisty01,G,70,160,1996-01-05,Kentucky,2017,2019,2016-10-26T00:00:00Z,FALSE
Isaiah Whitehead,whiteis01,G,76,213,1995-03-08,Seton Hall,2017,2018,2016-10-26T00:00:00Z,FALSE
DeAndre' Bembry,bembrde01,F,77,210,1994-07-04,Saint Joseph's,2017,2022,2016-10-27T00:00:00Z,FALSE
Malcolm Delaney,delanma01,G,75,190,1989-03-11,Virginia Tech,2017,2018,2016-10-27T00:00:00Z,FALSE
Sheldon Mac,mcclesh01,G,77,200,1992-12-21,"Texas, Miami (FL)",2017,2017,2016-10-27T00:00:00Z,FALSE
Daniel Ochefu,ochefda01,C,83,245,1993-12-15,Villanova,2017,2017,2016-10-27T00:00:00Z,FALSE
Taurean Prince,princta02,F,78,218,1994-03-22,Baylor,2017,2025,2016-10-27T00:00:00Z,FALSE
Tomáš Satoranský,satorto01,G,79,210,1991-10-30,NA,2017,2022,2016-10-27T00:00:00Z,FALSE
A.J. Hammons,hammoaj01,C,84,260,1992-08-27,Purdue,2017,2017,2016-10-28T00:00:00Z,FALSE
Georges Niang,niangge01,F,79,230,1993-06-17,Iowa State,2017,2025,2016-10-28T00:00:00Z,FALSE
Kyle Wiltjer,wiltjky01,F,82,240,1992-10-20,"Kentucky, Gonzaga",2017,2017,2016-10-28T00:00:00Z,FALSE
Stephen Zimmerman,zimmest01,C,84,240,1996-09-09,UNLV,2017,2017,2016-10-28T00:00:00Z,FALSE
Cheick Diallo,diallch01,F,80,219,1996-09-13,Kansas,2017,2022,2016-10-29T00:00:00Z,FALSE
Kay Felder,feldeka01,G,69,176,1995-03-29,Oakland,2017,2018,2016-10-29T00:00:00Z,FALSE
Timothé Luwawu-Cabarrot,luwawti01,F,79,220,1995-05-09,NA,2017,2022,2016-10-29T00:00:00Z,FALSE
Dejounte Murray,murrade01,G,77,180,1996-09-19,Washington,2017,2025,2016-10-29T00:00:00Z,FALSE
Denzel Valentine,valende01,G,76,220,1993-11-16,Michigan State,2017,2022,2016-10-29T00:00:00Z,FALSE
Troy Williams,willitr02,F,79,218,1994-12-30,Indiana,2017,2019,2016-10-29T00:00:00Z,FALSE
Paul Zipser,zipsepa01,G-F,80,215,1994-02-18,NA,2017,2018,2016-10-29T00:00:00Z,FALSE
Joel Bolomboy,bolomjo01,F,81,235,1994-01-28,Weber State,2017,2018,2016-10-30T00:00:00Z,FALSE
Thon Maker,makerth01,F-C,84,221,1997-02-25,NA,2017,2021,2016-10-30T00:00:00Z,FALSE
Diamond Stone,stonedi01,C,83,255,1997-02-10,Maryland,2017,2017,2016-10-30T00:00:00Z,FALSE
Jake Layman,laymaja01,F,80,209,1994-03-07,Maryland,2017,2022,2016-11-01T00:00:00Z,FALSE
Maurice Ndour,ndourma01,F,81,200,1992-06-18,Ohio University,2017,2017,2016-11-01T00:00:00Z,FALSE
Treveon Graham,grahatr01,G,77,219,1993-10-28,VCU,2017,2020,2016-11-02T00:00:00Z,FALSE
Ivica Zubac,zubaciv01,C,84,240,1997-03-18,NA,2017,2025,2016-11-02T00:00:00Z,FALSE
Malik Beasley,beaslma01,G,76,187,1996-11-26,Florida State,2017,2025,2016-11-05T00:00:00Z,FALSE
Skal Labissière,labissk01,F,82,235,1996-03-18,Kentucky,2017,2025,2016-11-05T00:00:00Z,FALSE
Georgios Papagiannis,papagge01,C,85,240,1997-07-03,NA,2017,2018,2016-11-05T00:00:00Z,FALSE
Demetrius Jackson,jacksde01,G,73,201,1994-09-07,Notre Dame,2017,2019,2016-11-06T00:00:00Z,FALSE
Yogi Ferrell,ferreyo01,G,72,178,1993-05-09,Indiana,2017,2021,2016-11-09T00:00:00Z,FALSE
Tim Quarterman,quartti01,G,78,195,1994-10-27,LSU,2017,2018,2016-11-09T00:00:00Z,FALSE
Fred VanVleet,vanvlfr01,G,72,197,1994-02-25,Wichita State,2017,2025,2016-11-09T00:00:00Z,FALSE
Danuel House Jr.,houseda01,G,78,220,1993-06-07,Texas A&M,2017,2024,2016-11-11T00:00:00Z,FALSE
Jonathan Gibson,gibsojo01,G,74,185,1987-11-08,New Mexico State,2017,2018,2016-11-18T00:00:00Z,FALSE
Derrick Jones Jr.,jonesde02,F,77,210,1997-02-15,UNLV,2017,2025,2016-11-19T00:00:00Z,FALSE
Marshall Plumlee,plumlma02,C,84,250,1992-07-14,Duke,2017,2018,2016-11-20T00:00:00Z,FALSE
Caris LeVert,leverca01,G-F,78,205,1994-08-25,Michigan,2017,2025,2016-12-07T00:00:00Z,FALSE
Damian Jones,jonesda03,F-C,83,245,1995-06-30,Vanderbilt,2017,2024,2016-12-10T00:00:00Z,FALSE
Chinanu Onuaku,onuakch01,F-C,82,245,1996-11-01,Louisville,2017,2018,2016-12-26T00:00:00Z,FALSE
Pierre Jackson,jackspi01,G,70,180,1991-08-29,Baylor,2017,2017,2016-12-27T00:00:00Z,FALSE
Chasson Randle,randlch01,G,74,185,1993-02-05,Stanford,2017,2021,2017-01-14T00:00:00Z,FALSE
Okaro White,whiteok01,F,80,205,1992-08-13,Florida State,2017,2019,2017-01-19T00:00:00Z,FALSE
Mike Tobey,tobeymi01,C,84,260,1994-10-10,Virginia,2017,2017,2017-02-15T00:00:00Z,FALSE
Brice Johnson,johnsbr02,F,82,230,1994-06-27,UNC,2017,2018,2017-02-23T00:00:00Z,FALSE
Quinn Cook,cookqu01,G,73,180,1993-03-23,Duke,2017,2021,2017-02-27T00:00:00Z,FALSE
David Nwaba,nwabada01,G,77,219,1993-01-14,Cal Poly,2017,2022,2017-02-28T00:00:00Z,FALSE
Ben Bentil,bentibe01,F,81,235,1995-03-29,Providence,2017,2017,2017-03-01T00:00:00Z,FALSE
Shawn Long,longsh01,C-F,81,255,1993-01-29,Louisiana,2017,2017,2017-03-06T00:00:00Z,FALSE
Jarrod Uthoff,uthofja01,F,81,221,1993-05-19,Iowa,2017,2020,2017-03-10T00:00:00Z,FALSE
Wayne Selden,seldewa01,G-F,77,230,1994-09-30,Kansas,2017,2022,2017-03-14T00:00:00Z,FALSE
Gary Payton II,paytoga02,G,74,190,1992-12-01,Oregon State,2017,2025,2017-04-02T00:00:00Z,FALSE
Alex Poythress,poythal01,F,81,235,1993-09-06,Kentucky,2017,2019,2017-04-02T00:00:00Z,FALSE
Isaiah Taylor,taylois01,G,75,170,1994-07-11,Texas,2017,2018,2017-04-02T00:00:00Z,FALSE
Patricio Garino,garinpa01,G-F,78,210,1993-05-17,George Washington,2017,2017,2017-04-04T00:00:00Z,FALSE
Marcus Georges-Hunt,georgma01,G,77,216,1994-03-28,Georgia Tech,2017,2018,2017-04-04T00:00:00Z,FALSE
John Holland,hollajo02,G-F,77,205,1988-11-06,Boston University,2018,2019,2016-04-19T00:00:00Z,FALSE
Jordan Bell,belljo01,F,80,216,1995-01-07,Oregon,2018,2022,2017-10-17T00:00:00Z,FALSE
Semi Ojeleye,ojelese01,F,78,240,1994-12-05,"Duke, SMU",2018,2022,2017-10-17T00:00:00Z,FALSE
Jayson Tatum,tatumja01,F,80,210,1998-03-03,Duke,2018,2025,2017-10-17T00:00:00Z,FALSE
Bam Adebayo,adebaba01,C-F,81,255,1997-07-18,Kentucky,2018,2025,2017-10-18T00:00:00Z,FALSE
Dwayne Bacon,bacondw01,G,78,221,1995-08-30,Florida State,2018,2021,2017-10-18T00:00:00Z,FALSE
Dillon Brooks,brookdi01,F-G,78,225,1996-01-22,Oregon,2018,2025,2017-10-18T00:00:00Z,FALSE
John Collins,collijo01,F,81,235,1997-09-23,Wake Forest,2018,2025,2017-10-18T00:00:00Z,FALSE
De'Aaron Fox,foxde01,G,75,185,1997-12-20,Kentucky,2018,2025,2017-10-18T00:00:00Z,FALSE
Markelle Fultz,fultzma01,G,76,209,1998-05-29,Washington,2018,2025,2017-10-18T00:00:00Z,FALSE
Jonathan Isaac,isaacjo01,F,82,230,1997-10-03,Florida State,2018,2025,2017-10-18T00:00:00Z,FALSE
Josh Jackson,jacksjo02,F-G,80,207,1997-02-10,Kansas,2018,2022,2017-10-18T00:00:00Z,FALSE
Justin Jackson,jacksju01,G-F,80,220,1995-03-28,UNC,2018,2024,2017-10-18T00:00:00Z,FALSE
Mike James,jamesmi02,G,73,189,1990-08-18,Lamar,2018,2021,2017-10-18T00:00:00Z,FALSE
T.J. Leaf,leaftj01,F,82,222,1997-04-30,UCLA,2018,2021,2017-10-18T00:00:00Z,FALSE
Josh Magette,magetjo01,G,73,160,1989-11-28,Alabama-Huntsville,2018,2020,2017-10-18T00:00:00Z,FALSE
Donovan Mitchell,mitchdo01,G,75,215,1996-09-07,Louisville,2018,2025,2017-10-18T00:00:00Z,FALSE
Malik Monk,monkma01,G,75,200,1998-02-04,Kentucky,2018,2025,2017-10-18T00:00:00Z,FALSE
Abdel Nader,naderab01,F,77,225,1993-09-25,"Northern Illinois, Iowa State",2018,2022,2017-10-18T00:00:00Z,FALSE
